Quarter,npm_dd-trace_releases_all,npm_dd-trace_releases_stable,pypi_ddtrace_releases_all,pypi_ddtrace_releases_stable,pypi_ddtrace_files_uploaded
2021 Q1,19,13,2,2,72
2021 Q2,15,8,16,9,569
2021 Q3,17,12,26,15,987
2021 Q4,9,3,22,10,1158
2022 Q1,14,12,28,17,1608
2022 Q2,11,11,28,18,1647
2022 Q3,17,14,27,19,1593
2022 Q4,20,20,16,11,1034
2023 Q1,38,22,35,22,2395
2023 Q2,42,28,41,33,2829
2023 Q3,53,40,32,26,2199
2023 Q4,24,13,57,52,3627
2024 Q1,48,32,35,32,2118
2024 Q2,32,22,31,18,1869
2024 Q3,17,10,34,26,2040
2024 Q4,22,22,40,31,2408
2025 Q1,26,19,33,21,2103
2025 Q2,14,13,39,27,2362
2025 Q3,16,16,45,33,2769
2025 Q4,17,14,33,22,2251
2026 Q1,12,12,46,29,2488
2026 Q2,18,18,51,35,2727
