Calendar_Quarter,Quarter_End,AWS_Revenue_USDm,Azure_Reported_YoY_pct,GoogleCloud_Revenue_USDm,Azure_ConstCurrency_YoY_pct,Azure_Restated_NewDef_YoY_pct,Azure_Restated_NewDef_CC_pct,MSFT_Fiscal_Quarter,Azure_CC_Note,AWS_Source,Azure_Source,GoogleCloud_Source
2022 Q1,2022-03-31,18441,46,5821,49.0,,,FY22 Q3,,https://www.sec.gov/Archives/edgar/data/1018724/000101872422000013/amzn-20220331.htm,https://microsoft.gcs-web.com/static-files/7bcc3532-5541-4d7a-bf21-699077fb5ff4 (8-K: https://www.sec.gov/Archives/edgar/data/789019/000119312522120207/d328712dex991.htm),https://www.sec.gov/Archives/edgar/data/1652044/000165204422000029/goog-20220331.htm
2022 Q2,2022-06-30,19739,40,6276,46.0,,,FY22 Q4,,https://www.sec.gov/Archives/edgar/data/1018724/000101872422000019/amzn-20220630.htm,https://www.microsoft.com/en-us/investor/earnings/FY-2022-Q4/press-release-webcast,https://www.sec.gov/Archives/edgar/data/1652044/000165204422000071/goog-20220630.htm
2022 Q3,2022-09-30,20538,35,6868,42.0,,,FY23 Q1,,https://www.sec.gov/Archives/edgar/data/1018724/000101872422000023/R23.htm,https://www.microsoft.com/en-us/investor/earnings/FY-2023-Q1/press-release-webcast,https://www.sec.gov/Archives/edgar/data/1652044/000165204422000085/googexhibit991q32022.htm
2022 Q4,2022-12-31,21378,31,7315,38.0,,,FY23 Q2,,"DERIVED FY22 80,096 (https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/amzn-20231231.htm) minus 9M22 58,718 (https://www.sec.gov/Archives/edgar/data/1018724/000101872422000023/R23.htm); release: https://www.sec.gov/Archives/edgar/data/1018724/000101872423000002/amzn-20221231xex991.htm",https://www.microsoft.com/en-us/investor/earnings/FY-2023-Q2/press-release-webcast,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000013/googexhibit991q42022.htm
2023 Q1,2023-03-31,21354,27,7454,31.0,,,FY23 Q3,,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000008/amzn-20230331.htm,https://www.microsoft.com/en-us/investor/earnings/FY-2023-Q3/press-release-webcast (8-K: https://www.sec.gov/Archives/edgar/data/789019/000119312523115280/d321368dex991.htm),https://www.sec.gov/Archives/edgar/data/1652044/000165204423000041/googexhibit991q12023.htm
2023 Q2,2023-06-30,22140,26,8031,27.0,,,FY23 Q4,,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000012/amzn-20230630.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017023034400/msft-ex99_1.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000067/googexhibit991q22023.htm
2023 Q3,2023-09-30,23059,29,8411,28.0,31.0,30.0,FY24 Q1,,https://www.sec.gov/Archives/edgar/data/1018724/000101872423000018/R23.htm,https://www.microsoft.com/en-us/investor/earnings/FY-2024-Q1/press-release-webcast (8-K: https://www.sec.gov/Archives/edgar/data/789019/000095017023054848/msft-ex99_1.htm),https://www.sec.gov/Archives/edgar/data/1652044/000165204423000088/googexhibit991q32023.htm
2023 Q4,2023-12-31,24204,30,9192,28.0,33.0,31.0,FY24 Q2,,"DERIVED FY23 90,757 (https://www.sec.gov/Archives/edgar/data/1018724/000101872424000008/amzn-20231231.htm) minus 9M23 66,553 (https://www.sec.gov/Archives/edgar/data/1018724/000101872423000018/R23.htm); release: https://www.sec.gov/Archives/edgar/data/1018724/000101872424000006/amzn-20231231xex991.htm",https://www.sec.gov/Archives/edgar/data/789019/000095017024008809/msft-ex99_1.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000014/googexhibit991q42023.htm
2024 Q1,2024-03-31,25037,31,9574,,35.0,,FY24 Q3,cc not stated in release,https://www.sec.gov/Archives/edgar/data/1018724/000101872424000083/amzn-20240331.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017024048268/msft-ex99_1.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000047/googexhibit991q12024.htm
2024 Q2,2024-06-30,26281,29,10347,30.0,34.0,35.0,FY24 Q4,,Comparative column in 10-Q 2Q25: https://www.sec.gov/Archives/edgar/data/1018724/000101872425000086/amzn-20250630.htm (original 2Q24 10-Q: https://www.sec.gov/Archives/edgar/data/1018724/000101872424000130/amzn-20240630.htm),https://www.sec.gov/Archives/edgar/data/789019/000095017024087835/msft-ex99_1.htm,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000076/googexhibit991q22024.htm
