Quarter,Quarter_End,Revenue_USDm,Revenue_YoY,Revenue_QoQ,Customers_100k,Customers_100k_YoY,RPO_USDm,RPO_YoY,RPO_basis
2022 Q1,2022-03-31,363.03,82.84,11.29,2250,60.03,857.9,,10-Q/10-K exact
2022 Q2,2022-06-30,406.138,73.9,11.87,2420,54.14,881.4,,10-Q/10-K exact
2022 Q3,2022-09-30,436.533,61.39,7.48,2600,44.44,941.0,,10-Q/10-K exact
2022 Q4,2022-12-31,469.399,43.9,7.53,2780,38.31,1057.2,29.72,10-Q/10-K exact
2023 Q1,2023-03-31,481.714,32.69,2.62,2910,29.33,1138.3,32.68,10-Q/10-K exact
2023 Q2,2023-06-30,509.46,25.44,5.76,2990,23.55,1252.5,42.1,10-Q/10-K exact
2023 Q3,2023-09-30,547.536,25.43,7.47,3130,20.38,1446.2,53.69,10-Q/10-K exact
2023 Q4,2023-12-31,589.649,25.62,7.69,3190,14.75,1839.4,73.99,10-Q/10-K exact
2024 Q1,2024-03-31,611.253,26.89,3.66,3340,14.78,1731.5,52.11,10-Q/10-K exact
2024 Q2,2024-06-30,645.279,26.66,5.57,3390,13.38,1792.4,43.11,10-Q/10-K exact
2024 Q3,2024-09-30,690.016,26.02,6.93,3490,11.5,1821.8,25.97,10-Q/10-K exact
2024 Q4,2024-12-31,737.727,25.11,6.91,3610,13.17,2273.1,23.58,10-Q/10-K exact
2025 Q1,2025-03-31,761.553,24.59,3.23,3770,12.87,2309.0,33.35,10-Q/10-K exact
2025 Q2,2025-06-30,826.76,28.12,8.56,3850,13.57,2430.0,35.57,"CFO call, rounded to $10M (10-Q exact not retrieved)"
2025 Q3,2025-09-30,885.651,28.35,7.12,4060,16.33,2787.6,53.01,10-Q/10-K exact
2025 Q4,2025-12-31,953.194,29.21,7.63,4310,19.39,3461.2,52.27,10-Q/10-K exact
2026 Q1,2026-03-31,1006.426,32.15,5.58,4550,20.69,3480.0,50.71,"CFO call, rounded to $10M (10-Q exact not retrieved)"
2026 Q2,2026-06-30,1121.454,35.64,11.43,4720,22.6,3470.0,42.8,"CFO call, rounded to $10M (10-Q exact not retrieved)"
