Quarter,DDOG_Revenue_YoY,AWS_YoY,Azure_YoY,GoogleCloud_YoY,Cloud_Index_Raw,Cloud_Index_Z
2022 Q1,82.84,36.57,46,43.83,42.133333,1.447855
2022 Q2,73.9,33.29,40,35.61,36.3,0.781987
2022 Q3,61.39,27.49,35,37.64,33.376667,0.296973
2022 Q4,43.9,20.24,31,32.02,27.753333,-0.365805
2023 Q1,32.69,15.8,27,28.05,23.616667,-0.871614
2023 Q2,25.44,12.16,26,27.96,22.04,-1.085469
2023 Q3,25.43,12.27,29,22.47,21.246667,-1.034493
2023 Q4,25.62,13.22,30,25.66,22.96,-0.865235
2024 Q1,26.89,17.25,31,28.44,25.563333,-0.574023
2024 Q2,26.66,18.7,29,28.84,25.513333,-0.616725
2024 Q3,26.02,19.05,33,34.98,29.01,-0.236154
2024 Q4,25.11,18.93,31,30.06,26.663333,-0.465872
2025 Q1,24.59,16.89,33,28.06,25.983333,-0.484434
2025 Q2,28.12,17.47,39,31.67,29.38,-0.037689
2025 Q3,28.35,20.23,40,33.51,31.246667,0.178193
2025 Q4,29.21,23.6,39,47.75,36.783333,0.586562
2026 Q1,32.15,28.43,40,63.36,43.93,1.201571
2026 Q2,35.64,36.79,43,81.8,53.863333,2.144373
