Quarter,Quarterly_Trend_Mean,Trend_YoY,DDOG_Revenue_YoY,Customers_100k_YoY
2022 Q1,16.917,103.0,82.84,60.03
2022 Q2,27.0,208.571,73.9,54.14
2022 Q3,28.0,197.345,61.39,44.44
2022 Q4,26.583,163.636,43.9,38.31
2023 Q1,30.167,78.325,32.69,29.33
2023 Q2,29.083,7.716,25.44,23.55
2023 Q3,30.5,8.929,25.43,20.38
2023 Q4,27.833,4.702,25.62,14.75
2024 Q1,33.417,10.773,26.89,14.78
2024 Q2,34.25,17.765,26.66,13.38
2024 Q3,34.5,13.115,26.02,11.5
2024 Q4,32.917,18.263,25.11,13.17
2025 Q1,35.5,6.234,24.59,12.87
2025 Q2,36.667,7.056,28.12,13.57
2025 Q3,71.417,107.005,28.35,16.33
2025 Q4,60.25,83.038,29.21,19.39
2026 Q1,64.833,82.629,32.15,20.69
2026 Q2,75.333,105.455,35.64,22.6
