Quarter,DDOG_Revenue_YoY,Customers_100k_YoY,Core_Integrations,Extras_Integrations,Total_Integrations,Core_YoY_Growth,Extras_YoY_Growth,Total_YoY_Growth,New_Core_Integrations,New_Extras_Integrations,New_Total_Integrations
2022 Q1,82.84,60.03,188,116,304,12.575,41.463,22.088,9,8,17
2022 Q2,73.9,54.14,195,135,330,14.706,46.739,25.954,7,19,26
2022 Q3,61.39,44.44,198,152,350,12.5,58.333,28.676,3,19,22
2022 Q4,43.9,38.31,201,165,366,12.291,50.0,26.644,3,13,16
2023 Q1,32.69,29.33,209,174,383,11.17,50.0,25.987,8,10,18
2023 Q2,25.44,23.55,213,186,399,9.231,37.778,20.909,4,12,16
2023 Q3,25.43,20.38,220,198,418,11.111,30.263,19.429,7,13,20
2023 Q4,25.62,14.75,222,208,430,10.448,26.061,17.486,2,10,12
2024 Q1,26.89,14.78,233,213,446,11.483,22.414,16.449,11,6,17
2024 Q2,26.66,13.38,239,220,459,12.207,18.28,15.038,6,7,13
2024 Q3,26.02,11.5,272,224,496,23.636,13.131,18.66,33,8,41
2024 Q4,25.11,13.17,296,235,531,33.333,12.981,23.488,24,11,35
2025 Q1,24.59,12.87,326,239,565,39.914,12.207,26.682,30,4,34
2025 Q2,28.12,13.57,351,249,600,46.862,13.182,30.719,25,10,35
2025 Q3,28.35,16.33,374,254,628,37.5,13.393,26.613,25,5,30
2025 Q4,29.21,19.39,381,254,635,28.716,8.085,19.586,10,1,11
2026 Q1,32.15,20.69,396,256,652,21.472,7.113,15.398,15,2,17
2026 Q2,35.64,22.6,400,259,659,13.96,4.016,9.833,5,4,9
