Quarter,PyPI_ddtrace_Downloads,PyPI_Download_YoY,NPM_ddtrace_Downloads,NPM_Download_YoY
2021 Q1,7109098,,8365658,
2021 Q2,10054510,,9139195,
2021 Q3,7248211,,14688073,
2021 Q4,7268793,,15283704,
2022 Q1,9736176,36.95,16345844,95.39
2022 Q2,12582968,25.15,17648888,93.11
2022 Q3,11046935,52.41,19709063,34.18
2022 Q4,9837659,35.34,21344419,39.65
2023 Q1,13261276,36.21,25437307,55.62
2023 Q2,15369757,22.15,27636478,56.59
2023 Q3,18051330,63.41,31619710,60.43
2023 Q4,20331365,106.67,24926281,16.78
2024 Q1,25175455,89.84,27580076,8.42
2024 Q2,27008467,75.72,30178562,9.2
2024 Q3,38934795,115.69,33902505,7.22
2024 Q4,39088687,92.26,37455308,50.26
2025 Q1,36991173,46.93,42807438,55.21
2025 Q2,47715515,76.67,46628117,54.51
2025 Q3,53114137,36.42,48314298,42.51
2025 Q4,63375235,62.13,51174199,36.63
2026 Q1,94016328,154.16,68034847,58.93
2026 Q2,114542160,140.05,92295425,97.94
