Date,ddtrace_Python_Downloads,dd-trace_NPM_Downloads
2021-01-01,26873,7183
2021-01-02,24469,6710
2021-01-03,23840,9760
2021-01-04,67333,73162
2021-01-05,86998,105939
2021-01-06,83143,97335
2021-01-07,84485,105085
2021-01-08,77117,97161
2021-01-09,33511,15119
2021-01-10,28673,12053
2021-01-11,75712,90594
2021-01-12,83898,127974
2021-01-13,80728,119477
2021-01-14,80917,121037
2021-01-15,77158,100737
2021-01-16,31280,15066
2021-01-17,25104,14829
2021-01-18,47492,68741
2021-01-19,77304,110261
2021-01-20,86563,123078
2021-01-21,83779,118099
2021-01-22,79656,65656
2021-01-23,31957,19614
2021-01-24,26266,16208
2021-01-25,76756,108827
2021-01-26,84220,122547
2021-01-27,94704,131651
2021-01-28,88094,126639
2021-01-29,83449,112630
2021-01-30,33395,24957
2021-01-31,34152,19719
2021-02-01,83849,116001
2021-02-02,96950,128226
2021-02-03,100620,133920
2021-02-04,97696,133113
2021-02-05,90424,120171
2021-02-06,35829,17695
2021-02-07,32124,17740
2021-02-08,92157,119655
2021-02-09,114505,139734
2021-02-10,111916,138148
2021-02-11,120745,123143
2021-02-12,86426,113582
2021-02-13,34590,20750
2021-02-14,30772,17027
2021-02-15,53383,82740
2021-02-16,88741,133506
2021-02-17,100222,135752
2021-02-18,101657,143381
2021-02-19,95546,127819
2021-02-20,28868,21683
2021-02-21,27480,14013
2021-02-22,83496,119668
2021-02-23,100123,131168
2021-02-24,107506,144016
2021-02-25,109224,138313
2021-02-26,92401,118945
2021-02-27,32301,23716
2021-02-28,29376,16564
2021-03-01,88852,126964
2021-03-02,104398,143158
2021-03-03,119195,150076
2021-03-04,126571,159012
2021-03-05,103745,132306
2021-03-06,38884,35554
2021-03-07,28516,32018
2021-03-08,98339,144561
2021-03-09,117954,157150
2021-03-10,114085,151711
2021-03-11,109221,136094
2021-03-12,95223,121949
2021-03-13,32716,23167
2021-03-14,28240,15457
2021-03-15,98709,133161
2021-03-16,118048,146879
2021-03-17,120059,134071
2021-03-18,123091,140764
2021-03-19,118596,116433
2021-03-20,39416,18171
2021-03-21,30275,16290
2021-03-22,115556,133148
2021-03-23,134466,141956
2021-03-24,141964,144467
2021-03-25,149451,151417
2021-03-26,121240,121859
2021-03-27,39034,17743
2021-03-28,34077,17591
2021-03-29,127479,130352
2021-03-30,140435,143993
2021-03-31,153310,150149
2021-04-01,140963,134576
2021-04-02,116581,90232
2021-04-03,35315,15844
2021-04-04,31446,12886
2021-04-05,117592,88292
2021-04-06,146975,137886
2021-04-07,146511,139112
2021-04-08,143292,140099
2021-04-09,125708,118311
2021-04-10,39563,16016
2021-04-11,31551,12870
2021-04-12,135288,132915
2021-04-13,150688,136586
2021-04-14,146026,136158
2021-04-15,149918,140675
2021-04-16,130580,117696
2021-04-17,38458,16768
2021-04-18,34838,15340
2021-04-19,120966,127978
2021-04-20,130435,132740
2021-04-21,136495,132328
2021-04-22,131365,139988
2021-04-23,136239,112424
2021-04-24,63206,17630
2021-04-25,55994,20546
2021-04-26,128295,124321
2021-04-27,147903,132472
2021-04-28,143868,139930
2021-04-29,138165,122834
2021-04-30,128271,108144
2021-05-01,33363,17633
2021-05-02,25595,15263
2021-05-03,119717,102719
2021-05-04,125016,121453
2021-05-05,146772,133623
2021-05-06,145349,138851
2021-05-07,129779,125698
2021-05-08,30143,20097
2021-05-09,21891,15525
2021-05-10,107075,138055
2021-05-11,138156,149773
2021-05-12,134184,145427
2021-05-13,127237,122372
2021-05-14,122335,106633
2021-05-15,37491,14850
2021-05-16,22607,12617
2021-05-17,120551,125888
