quarter,quarter_end,commit,n_integrations,repo
2021 Q1,2021-03-31,8b23ba909,167,core
2021 Q2,2021-06-30,099995aee,170,core
2021 Q3,2021-09-30,83b1348d6,176,core
2021 Q4,2021-12-31,8084d6fce,179,core
2022 Q1,2022-03-31,f3c487583,188,core
2022 Q2,2022-06-30,7bf7924dd,195,core
2022 Q3,2022-09-30,a454afcdf,198,core
2022 Q4,2022-12-31,b105866a9,201,core
2023 Q1,2023-03-31,7eda1f651,209,core
2023 Q2,2023-06-30,babe52e44,213,core
2023 Q3,2023-09-30,c7746adff,220,core
2023 Q4,2023-12-31,17bea458a,222,core
2024 Q1,2024-03-31,de516ffa1,233,core
2024 Q2,2024-06-30,40193a9e2,239,core
2024 Q3,2024-09-30,c1e85309a,272,core
2024 Q4,2024-12-31,e6b077a2f,296,core
2025 Q1,2025-03-31,67cf3ad93,326,core
2025 Q2,2025-06-30,f9f78ed17,351,core
2025 Q3,2025-09-30,57d770191,374,core
2025 Q4,2025-12-31,0d1bcd19b,381,core
2026 Q1,2026-03-31,fb1f14eb5,396,core
2026 Q2,2026-06-30,665acb126,400,core
2021 Q1,2021-03-31,8c40a9cf8,82,extras
2021 Q2,2021-06-30,85f4bc776,92,extras
2021 Q3,2021-09-30,14161afe9,96,extras
2021 Q4,2021-12-31,8ed64dad7,110,extras
2022 Q1,2022-03-31,df399d162,116,extras
2022 Q2,2022-06-30,f82d2bdc0,135,extras
2022 Q3,2022-09-30,2565b3975,152,extras
2022 Q4,2022-12-31,ba4d2dea3,165,extras
2023 Q1,2023-03-31,b835c23cf,174,extras
2023 Q2,2023-06-30,f1f558b90,186,extras
2023 Q3,2023-09-30,cab67214b,198,extras
2023 Q4,2023-12-31,3264d649f,208,extras
2024 Q1,2024-03-31,d4a8f0c0f,213,extras
2024 Q2,2024-06-30,9c6f6e768,220,extras
2024 Q3,2024-09-30,686edd23d,224,extras
2024 Q4,2024-12-31,15f95806f,235,extras
2025 Q1,2025-03-31,b45b70ab3,239,extras
2025 Q2,2025-06-30,f4f476473,249,extras
2025 Q3,2025-09-30,aac7d245e,254,extras
2025 Q4,2025-12-31,e14748705,254,extras
2026 Q1,2026-03-31,6eb582a76,256,extras
2026 Q2,2026-06-30,9e7e3dc61,259,extras
