Quarter,n_months,Quarterly_Trend_Mean,Trend_YoY
2021 Q1,3,8.333,
2021 Q2,3,8.75,
2021 Q3,3,9.417,
2021 Q4,3,10.083,
2022 Q1,3,16.917,103.0
2022 Q2,3,27.0,208.571
2022 Q3,3,28.0,197.345
2022 Q4,3,26.583,163.636
2023 Q1,3,30.167,78.325
2023 Q2,3,29.083,7.716
2023 Q3,3,30.5,8.929
2023 Q4,3,27.833,4.702
2024 Q1,3,33.417,10.773
2024 Q2,3,34.25,17.765
2024 Q3,3,34.5,13.115
2024 Q4,3,32.917,18.263
2025 Q1,3,35.5,6.234
2025 Q2,3,36.667,7.056
2025 Q3,3,71.417,107.005
2025 Q4,3,60.25,83.038
2026 Q1,3,64.833,82.629
2026 Q2,3,75.333,105.455
