Date,Datadog,Datadog APM,Datadog logs,Datadog monitoring
2021-01-01,10.0,8.0,4.0,7.0
2021-02-01,12.0,9.0,6.0,8.0
2021-03-01,12.0,10.0,6.0,8.0
2021-04-01,12.0,10.0,5.0,7.0
2021-05-01,10.0,9.0,6.0,8.0
2021-06-01,12.0,12.0,6.0,8.0
2021-07-01,11.0,9.0,8.0,8.0
2021-08-01,12.0,11.0,7.0,6.0
2021-09-01,12.0,13.0,7.0,9.0
2021-10-01,12.0,10.0,9.0,9.0
2021-11-01,14.0,12.0,7.0,9.0
2021-12-01,14.0,11.0,7.0,7.0
2022-01-01,19.0,16.0,10.0,12.0
2022-02-01,22.0,20.0,15.0,14.0
2022-03-01,24.0,22.0,15.0,14.0
2022-04-01,31.0,36.0,20.0,18.0
2022-05-01,34.0,33.0,22.0,18.0
2022-06-01,35.0,37.0,22.0,18.0
2022-07-01,31.0,35.0,23.0,18.0
2022-08-01,36.0,36.0,23.0,18.0
2022-09-01,35.0,37.0,25.0,19.0
2022-10-01,34.0,36.0,21.0,18.0
2022-11-01,35.0,35.0,24.0,18.0
2022-12-01,29.0,31.0,21.0,17.0
2023-01-01,34.0,31.0,25.0,18.0
2023-02-01,38.0,40.0,28.0,21.0
2023-03-01,42.0,38.0,25.0,22.0
2023-04-01,34.0,33.0,24.0,18.0
2023-05-01,36.0,35.0,26.0,19.0
2023-06-01,37.0,39.0,29.0,19.0
2023-07-01,37.0,34.0,27.0,18.0
2023-08-01,40.0,41.0,27.0,22.0
2023-09-01,36.0,38.0,26.0,20.0
2023-10-01,38.0,36.0,26.0,19.0
2023-11-01,39.0,33.0,28.0,18.0
2023-12-01,31.0,29.0,20.0,17.0
2024-01-01,37.0,36.0,28.0,19.0
2024-02-01,47.0,42.0,33.0,25.0
2024-03-01,42.0,38.0,31.0,23.0
2024-04-01,43.0,47.0,31.0,24.0
2024-05-01,43.0,40.0,30.0,22.0
2024-06-01,42.0,38.0,31.0,20.0
2024-07-01,46.0,38.0,32.0,21.0
2024-08-01,45.0,44.0,31.0,23.0
2024-09-01,44.0,37.0,31.0,22.0
2024-10-01,47.0,41.0,33.0,25.0
2024-11-01,44.0,39.0,30.0,21.0
2024-12-01,39.0,34.0,25.0,17.0
2025-01-01,42.0,38.0,30.0,21.0
2025-02-01,50.0,41.0,36.0,23.0
2025-03-01,49.0,42.0,31.0,23.0
2025-04-01,47.0,41.0,32.0,22.0
2025-05-01,48.0,39.0,30.0,22.0
2025-06-01,50.0,41.0,34.0,34.0
2025-07-01,59.0,43.0,34.0,35.0
2025-08-01,100.0,100.0,100.0,74.0
2025-09-01,89.0,81.0,75.0,67.0
2025-10-01,80.0,66.0,62.0,59.0
2025-11-01,76.0,66.0,50.0,58.0
2025-12-01,53.0,60.0,42.0,51.0
2026-01-01,58.0,51.0,44.0,51.0
2026-02-01,78.0,84.0,61.0,69.0
2026-03-01,74.0,74.0,63.0,71.0
2026-04-01,74.0,67.0,60.0,75.0
2026-05-01,81.0,59.0,57.0,89.0
2026-06-01,90.0,66.0,86.0,100.0
