quarter,Core_Integrations,Extras_Integrations,Total_Integrations,Core_Net_Additions,Extras_Net_Additions,Total_Net_Additions,Core_YoY_Growth,Extras_YoY_Growth,Total_YoY_Growth,New_Core_Integrations,Removed_Core_Integrations,New_Extras_Integrations,Removed_Extras_Integrations,New_Total_Integrations,Removed_Total_Integrations
2021 Q1,167,82,249,11.0,5.0,16.0,,,,11,0,5,0,16,0
2021 Q2,170,92,262,3.0,10.0,13.0,,,,3,0,10,0,13,0
2021 Q3,176,96,272,6.0,4.0,10.0,,,,6,0,4,0,10,0
2021 Q4,179,110,289,3.0,14.0,17.0,,,,3,0,14,0,17,0
2022 Q1,188,116,304,9.0,6.0,15.0,12.574850299401197,41.46341463414633,22.088353413654627,9,0,8,2,17,2
2022 Q2,195,135,330,7.0,19.0,26.0,14.705882352941169,46.739130434782616,25.954198473282442,7,0,19,0,26,0
2022 Q3,198,152,350,3.0,17.0,20.0,12.5,58.33333333333333,28.676470588235304,3,0,19,2,22,2
2022 Q4,201,165,366,3.0,13.0,16.0,12.290502793296088,50.0,26.643598615916964,3,0,13,0,16,0
2023 Q1,209,174,383,8.0,9.0,17.0,11.170212765957444,50.0,25.986842105263165,8,0,10,1,18,1
2023 Q2,213,186,399,4.0,12.0,16.0,9.23076923076922,37.77777777777778,20.9090909090909,4,0,12,0,16,0
2023 Q3,220,198,418,7.0,12.0,19.0,11.111111111111116,30.263157894736835,19.428571428571438,7,0,13,1,20,1
2023 Q4,222,208,430,2.0,10.0,12.0,10.447761194029859,26.06060606060605,17.486338797814206,2,0,10,0,12,0
2024 Q1,233,213,446,11.0,5.0,16.0,11.483253588516739,22.413793103448263,16.4490861618799,11,0,6,1,17,1
2024 Q2,239,220,459,6.0,7.0,13.0,12.20657276995305,18.279569892473123,15.037593984962406,6,0,7,0,13,0
2024 Q3,272,224,496,33.0,4.0,37.0,23.636363636363633,13.131313131313128,18.66028708133971,33,0,8,4,41,4
2024 Q4,296,235,531,24.0,11.0,35.0,33.33333333333333,12.98076923076923,23.48837209302326,24,0,11,0,35,0
2025 Q1,326,239,565,30.0,4.0,34.0,39.91416309012876,12.20657276995305,26.681614349775785,30,0,4,0,34,0
2025 Q2,351,249,600,25.0,10.0,35.0,46.86192468619246,13.181818181818183,30.718954248366014,25,0,10,0,35,0
2025 Q3,374,254,628,23.0,5.0,28.0,37.5,13.392857142857139,26.61290322580645,25,2,5,0,30,2
2025 Q4,381,254,635,7.0,0.0,7.0,28.716216216216207,8.085106382978724,19.585687382297557,10,3,1,1,11,4
2026 Q1,396,256,652,15.0,2.0,17.0,21.47239263803682,7.112970711297062,15.398230088495568,15,0,2,0,17,0
2026 Q2,400,259,659,4.0,3.0,7.0,13.960113960113961,4.016064257028118,9.83333333333334,5,1,4,1,9,2
