repository,quarter,net_additions_from_counts,new_minus_removed_from_audit,match
core,2021 Q1,11,11,True
core,2021 Q2,3,3,True
core,2021 Q3,6,6,True
core,2021 Q4,3,3,True
core,2022 Q1,9,9,True
core,2022 Q2,7,7,True
core,2022 Q3,3,3,True
core,2022 Q4,3,3,True
core,2023 Q1,8,8,True
core,2023 Q2,4,4,True
core,2023 Q3,7,7,True
core,2023 Q4,2,2,True
core,2024 Q1,11,11,True
core,2024 Q2,6,6,True
core,2024 Q3,33,33,True
core,2024 Q4,24,24,True
core,2025 Q1,30,30,True
core,2025 Q2,25,25,True
core,2025 Q3,23,23,True
core,2025 Q4,7,7,True
core,2026 Q1,15,15,True
core,2026 Q2,4,4,True
extras,2021 Q1,5,5,True
extras,2021 Q2,10,10,True
extras,2021 Q3,4,4,True
extras,2021 Q4,14,14,True
extras,2022 Q1,6,6,True
extras,2022 Q2,19,19,True
extras,2022 Q3,17,17,True
extras,2022 Q4,13,13,True
extras,2023 Q1,9,9,True
extras,2023 Q2,12,12,True
extras,2023 Q3,12,12,True
extras,2023 Q4,10,10,True
extras,2024 Q1,5,5,True
extras,2024 Q2,7,7,True
extras,2024 Q3,4,4,True
extras,2024 Q4,11,11,True
extras,2025 Q1,4,4,True
extras,2025 Q2,10,10,True
extras,2025 Q3,5,5,True
extras,2025 Q4,0,0,True
extras,2026 Q1,2,2,True
extras,2026 Q2,3,3,True
