series,specification,k,n,pearson,spearman,p_naive
AWS_YoY,Lead 1Q: Cloud(t-1) vs DDOG(t),1,17,0.8980183364540493,0.7549019607843138,9.967646715611386e-07
AWS_YoY,Lead 2Q: Cloud(t-2) vs DDOG(t),2,16,0.8747045198678224,0.5676470588235295,9.275419091526423e-06
AWS_YoY,Lag 0: Cloud(t) vs DDOG(t),0,18,0.7440754045787988,0.762641898864809,0.00039910675577746875
AWS_YoY,DIAGNOSTIC: Cloud(t+1) vs DDOG(t)  [cloud lags DDOG],-1,17,0.4936312667444967,0.5343137254901961,0.044035571027843216
Azure_YoY,Lead 1Q: Cloud(t-1) vs DDOG(t),1,17,0.7203345550327819,0.7600421758836214,0.001108351876270325
Azure_YoY,Lead 2Q: Cloud(t-2) vs DDOG(t),2,16,0.8271163021145376,0.7855167102620034,7.733517780378934e-05
Azure_YoY,Lag 0: Cloud(t) vs DDOG(t),0,18,0.5475525714605295,0.5812237925392313,0.018666651318098207
Azure_YoY,DIAGNOSTIC: Cloud(t+1) vs DDOG(t)  [cloud lags DDOG],-1,17,0.1409193838005131,0.15052783353539256,0.5895602095014166
GoogleCloud_YoY,Lead 1Q: Cloud(t-1) vs DDOG(t),1,17,0.41868071267244183,0.6715686274509804,0.09439654842027168
GoogleCloud_YoY,Lead 2Q: Cloud(t-2) vs DDOG(t),2,16,0.675453873987014,0.5558823529411765,0.004084744477660747
GoogleCloud_YoY,Lag 0: Cloud(t) vs DDOG(t),0,18,0.195364320340593,0.6821465428276574,0.43722544488975956
GoogleCloud_YoY,DIAGNOSTIC: Cloud(t+1) vs DDOG(t)  [cloud lags DDOG],-1,17,0.016393469471929704,0.46323529411764713,0.9502067107683169
