check,specification,k,n,pearson,spearman,p_naive
Cloud_Index_Z (levels),Lead 1Q: Cloud(t-1) vs DDOG(t),1,17,0.7728162170825587,0.7794117647058825,0.0002757183845937608
Cloud_Index_Z (levels),Lead 2Q: Cloud(t-2) vs DDOG(t),2,16,0.8780670287750698,0.7264705882352941,7.738672940565279e-06
Cloud_Index_Z (levels),Lag 0: Cloud(t) vs DDOG(t),0,18,0.5399971735847353,0.6842105263157895,0.02070792400032654
Cloud_Index_Z (levels),DIAGNOSTIC: Cloud(t+1) vs DDOG(t)  [cloud lags DDOG],-1,17,0.2263353745540686,0.3357843137254902,0.38236929676879056
Index ex-Google (AWS+Azure)/2,Lead 1Q: Cloud(t-1) vs DDOG(t),1,17,0.8583560006008181,0.7843137254901962,1.0392218043977989e-05
Index ex-Google (AWS+Azure)/2,Lead 2Q: Cloud(t-2) vs DDOG(t),2,16,0.8982161758456568,0.7264705882352941,2.3100256966212232e-06
Index ex-Google (AWS+Azure)/2,Lag 0: Cloud(t) vs DDOG(t),0,18,0.6869062296054532,0.7027863777089782,0.0016380260211557851
Index ex-Google (AWS+Azure)/2,DIAGNOSTIC: Cloud(t+1) vs DDOG(t)  [cloud lags DDOG],-1,17,0.3615134434117867,0.3504901960784314,0.15393104008460187
Sub-sample t >= 2023 Q1 (drops 2022 hyper-growth decline),Lead 1Q: Cloud(t-1) vs DDOG(t),1,14,0.8240831860085702,0.6043956043956044,0.00028955602039079827
Sub-sample t >= 2023 Q1 (drops 2022 hyper-growth decline),Lead 2Q: Cloud(t-2) vs DDOG(t),2,14,0.8087110508719497,0.5604395604395604,0.0004619796305364929
Sub-sample t >= 2023 Q1 (drops 2022 hyper-growth decline),Lag 0: Cloud(t) vs DDOG(t),0,14,0.7845539252563718,0.5912087912087912,0.0008914708265188517
Sub-sample t >= 2023 Q1 (drops 2022 hyper-growth decline),DIAGNOSTIC: Cloud(t+1) vs DDOG(t)  [cloud lags DDOG],-1,13,0.5450403755658089,0.3626373626373627,0.05407017839794956
Sub-sample t <= 2025 Q3 (drops last 3Q incl. Google/AWS surge),Lead 1Q: Cloud(t-1) vs DDOG(t),1,14,0.9186030821368365,0.6351648351648352,3.5168629363524915e-06
Sub-sample t <= 2025 Q3 (drops last 3Q incl. Google/AWS surge),Lead 2Q: Cloud(t-2) vs DDOG(t),2,13,0.8881697709735022,0.4505494505494505,5.007374827167656e-05
Sub-sample t <= 2025 Q3 (drops last 3Q incl. Google/AWS surge),Lag 0: Cloud(t) vs DDOG(t),0,15,0.8677136956160593,0.6892857142857142,2.770281868686207e-05
Sub-sample t <= 2025 Q3 (drops last 3Q incl. Google/AWS surge),DIAGNOSTIC: Cloud(t+1) vs DDOG(t)  [cloud lags DDOG],-1,15,0.5008988169031335,0.36785714285714277,0.057179270930641415
Sub-sample 2023 Q1 <= t <= 2025 Q3 (both trimmed),Lead 1Q: Cloud(t-1) vs DDOG(t),1,11,0.3775438821196736,0.24545454545454545,0.2523307572856321
Sub-sample 2023 Q1 <= t <= 2025 Q3 (both trimmed),Lead 2Q: Cloud(t-2) vs DDOG(t),2,11,0.5597670487271952,0.09090909090909091,0.07334200616031906
Sub-sample 2023 Q1 <= t <= 2025 Q3 (both trimmed),Lag 0: Cloud(t) vs DDOG(t),0,11,0.14646667620225684,0.3090909090909091,0.6673932749276451
Sub-sample 2023 Q1 <= t <= 2025 Q3 (both trimmed),DIAGNOSTIC: Cloud(t+1) vs DDOG(t)  [cloud lags DDOG],-1,11,0.028363294576739806,0.13636363636363638,0.9340262502439209
First differences of YoY (pp change),Lead 1Q: Cloud(t-1) vs DDOG(t),1,16,0.731698684245729,0.6764705882352942,0.0012741399836560254
First differences of YoY (pp change),Lead 2Q: Cloud(t-2) vs DDOG(t),2,15,0.6413753229184478,0.42142857142857143,0.009964679276970801
First differences of YoY (pp change),Lag 0: Cloud(t) vs DDOG(t),0,17,0.8039904144723605,0.875,0.00010049595993592665
First differences of YoY (pp change),DIAGNOSTIC: Cloud(t+1) vs DDOG(t)  [cloud lags DDOG],-1,16,0.7400093625351771,0.8058823529411765,0.0010474728886335522
