panel,model,n_oos,MAE,RMSE,MAPE_pct,Directional_Accuracy_pct
main,Naive,8,1.64,2.1091,5.4305,0.0
main,HistMean,8,4.5072,5.147,16.5925,50.0
main,AR1,8,2.4841,3.1419,8.0795,37.5
main,Cloud,8,3.9603,4.8732,13.8932,50.0
main,Trends,8,2.5166,3.3736,8.6047,62.5
main,Cloud+Trends,8,5.571,6.7976,20.3946,50.0
main,AR+Cloud+Trends,8,3.0822,4.1877,10.5807,37.5
post2022,Naive,7,1.7829,2.2417,5.8549,0.0
post2022,HistMean,7,3.2982,4.0267,10.7359,14.2857
post2022,AR1,7,2.9177,3.6039,9.3688,28.5714
post2022,Cloud,7,2.3041,2.5138,8.0331,28.5714
post2022,Trends,7,2.5693,3.2679,8.3301,42.8571
post2022,Cloud+Trends,7,2.2497,2.9689,7.2203,42.8571
post2022,AR+Cloud+Trends,7,3.9356,4.6574,13.187,57.1429
